Time	GLC	G6P	F6P	FBP
222.6666667	0.932176226	3.092295406	0.131274164	2.107460205
223.3333333	0.921790466	3.079104709	0.129229224	2.133704285
224	0.922982109	3.095467591	0.125832746	2.000883147
224.6666667	0.926485315	3.097359009	0.139068903	2.069088156
225.3333333	0.924539078	3.116548354	0.125989069	2.126007665
226	0.907087212	3.098374009	0.125453022	2.138395235
226.6666667	0.902228807	3.1001841	0.114085921	2.081693624
227.3333333	0.89673698	3.138685375	0.131801593	2.139921507
228	0.890472007	3.116935679	0.133425157	2.107194518
228.6666667	0.878142477	3.100937395	0.131890871	2.155959484
229.3333333	0.878391046	3.093138233	0.123465331	2.176936684
230	0.86126484	3.088297343	0.127401101	2.11232429
230.6666667	0.856725605	3.059562344	0.126146679	2.071881605
231.3333333	0.845255286	3.063338731	0.138208741	2.216346791
232	0.841864164	3.084150208	0.125234975	2.259311017
232.6666667	0.839329138	3.104140828	0.123738617	2.204706828
233.3333333	0.819649945	3.068982882	0.125267877	2.208267218
234	0.813226356	3.07551297	0.134141224	2.198913207
234.6666667	0.800219375	3.050443094	0.137319987	2.268921828
235.3333333	0.816402732	3.082880179	0.137262079	2.260208733
236	0.803343801	3.091833899	0.129955372	2.2130986
236.6666667	0.785742625	3.053050223	0.128139053	2.229338823
237.3333333	0.796734836	3.07710361	0.135413073	2.269154697
238	0.7874746	3.089926499	0.123930681	2.249833968
238.6666667	0.780672065	3.077466535	0.130204203	2.338628832
239.3333333	0.769479419	3.076697729	0.135633923	2.325236464
240	0.76058119	3.047747829	0.119308816	2.235734644
240.6666667	0.759287243	3.07154376	0.118608958	2.30117322
241.3333333	0.752670674	3.071156164	0.129877251	2.367188675
242	0.73714224	3.072292639	0.130326186	2.310136374
242.6666667	0.762191924	3.063205655	0.114959399	2.280604464
243.3333333	0.728116288	3.05537588	0.127014956	2.310021298
244	0.724393118	3.09100337	0.132516395	2.32818297
244.6666667	0.730135588	3.086700372	0.123325668	2.256029497
245.3333333	0.711770387	3.066236886	0.127642006	2.44555936
246	0.70731673	3.061512718	0.123531638	2.298967013
246.6666667	0.69049203	3.052463409	0.135448252	2.352644976
247.3333333	0.706726743	3.088516822	0.128112745	2.40268254
248	0.683386741	3.04850494	0.124050118	2.371995135
248.6666667	0.676460829	3.051581658	0.125640956	2.35196771
249.3333333	0.683401541	3.070876845	0.128822308	2.409032073
250	0.668339608	3.043679659	0.119343057	2.323731685
250.6666667	0.673064387	3.062686498	0.123834554	2.412501405
251.3333333	0.659820845	3.056136116	0.115636153	2.448939973
252	0.661794475	3.055592983	0.117972006	2.468437592
252.6666667	0.656275862	3.061725345	0.117356411	2.394392512
253.3333333	0.640408814	3.030495591	0.132217266	2.412069549
254	0.650937288	3.020649672	0.1201986	2.383157212
254.6666667	0.63947024	3.022707178	0.127959958	2.388175796
255.3333333	0.623323814	3.026207065	0.128089521	2.425236477
256	0.628106114	3.025910607	0.124571088	2.410774107
256.6666667	0.621079101	2.976280904	0.127188942	2.458357459
257.3333333	0.602037803	3.001327498	0.11558035	2.427090268
258	0.600633546	3.026051579	0.12567902	2.422592039
258.6666667	0.589964604	3.020953451	0.124301656	2.462681691
259.3333333	0.595906925	3.027642376	0.121996367	2.575801686
260	0.586233036	3.040084618	0.119634276	2.506140188
260.6666667	0.599523915	3.03182157	0.120023759	2.50278016
261.3333333	0.583906496	3.023762734	0.131392908	2.511067535
262	0.565509828	3.000411177	0.130355758	2.486267725
262.6666667	0.562175967	3.021080226	0.122404688	2.572971166
263.3333333	0.564119816	3.011414986	0.116169434	2.421211852
264	0.54146078	2.988565016	0.135868945	2.606530893
264.6666667	0.549394774	2.996225405	0.121500876	2.573272968
265.3333333	0.544007974	2.99893864	0.130344786	2.682005797
266	0.545400388	3.005596155	0.122196784	2.569437461
266.6666667	0.537222885	3.022834972	0.114425742	2.568843947
267.3333333	0.531478928	2.991510495	0.1174084	2.586048384
268	0.520365578	3.003841238	0.117222616	2.525635376
268.6666667	0.519513113	2.98516389	0.113548839	2.619599913
269.3333333	0.518763929	2.985949792	0.120888371	2.583594706
270	0.513233085	2.988784315	0.110114823	2.587333043
270.6666667	0.50973073	2.976493314	0.11747222	2.603805539
271.3333333	0.489027224	2.97228029	0.125498427	2.575523123
272	0.499262854	2.995063068	0.122664484	2.553338008
272.6666667	0.491228675	2.992622003	0.119355822	2.600423112
273.3333333	0.488679657	2.969363265	0.120836229	2.572590462
274	0.479331838	2.963506943	0.116207109	2.530753863
274.6666667	0.473452695	2.941959454	0.117509667	2.587720901
275.3333333	0.476899522	2.959366053	0.102397121	2.63765666
276	0.470299911	2.958127006	0.115433471	2.648798054
276.6666667	0.456269625	2.939844553	0.114269129	2.616506476
277.3333333	0.447276219	2.974626126	0.13004879	2.672111441
278	0.431534722	2.937207171	0.118066111	2.678557971
278.6666667	0.433990663	2.923189151	0.111082535	2.596006924
279.3333333	0.431571785	2.919853832	0.117174406	2.680137282
280	0.430256592	2.934112564	0.116536984	2.671330838
280.6666667	0.426818566	2.905046108	0.122321294	2.632339709
281.3333333	0.410815478	2.932500417	0.122914171	2.847405665
282	0.422338937	2.945466486	0.118450505	2.677712915
282.6666667	0.40528021	2.959203317	0.11556559	2.727737332
283.3333333	0.412327739	2.950371412	0.116609301	2.730092765
284	0.392617397	2.941214891	0.119891177	2.803029626
284.6666667	0.391471599	2.956878916	0.119206858	2.78551967
285.3333333	0.372949135	2.928274017	0.122073627	2.809521262
286	0.377101404	2.924038816	0.121150054	2.708421688
286.6666667	0.366728168	2.924059218	0.119691808	2.688351432
287.3333333	0.379916012	2.928717743	0.120937226	2.77161408
288	0.363472539	2.919439688	0.128579786	2.790860778
288.6666667	0.36063061	2.918332005	0.122183969	2.885539915
289.3333333	0.355833386	2.900467564	0.123955595	2.760012735
290	0.353357275	2.883694702	0.125130543	2.780426155
290.6666667	0.351234427	2.906609483	0.126168148	2.82178167
291.3333333	0.35335194	2.929527355	0.120447934	2.816240345
292	0.366479695	2.932666421	0.106793498	2.805265015
292.6666667	0.338759218	2.887788894	0.118248664	2.762905752
293.3333333	0.344105342	2.889394965	0.101792693	2.677417539
294	0.328286352	2.865824089	0.121643129	2.833965454
294.6666667	0.334314527	2.866246535	0.113240819	2.861256187
295.3333333	0.32428992	2.910289581	0.106818806	2.765074929
296	0.321012441	2.884086071	0.125289562	2.739470178
296.6666667	0.330994593	2.904069173	0.116358085	2.741795474
297.3333333	0.314024015	2.889492215	0.119590567	2.885136617
298	0.306779172	2.893683083	0.116622387	2.795625471
298.6666667	0.298367661	2.889532374	0.116773003	2.791863639
299.3333333	0.296591884	2.891543589	0.121104059	2.853263202
300	0.30394712	2.892707865	0.117230556	2.809789163
300.6666667	0.292456411	2.872231164	0.116078335	2.882192076
301.3333333	0.291354563	2.867050776	0.11580563	2.879522441
302	0.280943575	2.876683136	0.111069565	2.978819009
302.6666667	0.279654602	2.851926919	0.109167541	2.931222705
303.3333333	0.271147732	2.874044133	0.116687332	2.976919001
304	0.264779202	2.851997653	0.1185585	2.972395625
304.6666667	0.259918036	2.874911488	0.115533876	2.98113461
305.3333333	0.257078227	2.850840268	0.116839636	2.930823416
306	0.257822456	2.855091386	0.124669408	2.949879468
306.6666667	0.248853823	2.845959095	0.127339632	3.003372845
307.3333333	0.254647978	2.864018277	0.109021269	2.949214346
308	0.260866089	2.846609965	0.127053843	2.959649329
308.6666667	0.245118018	2.864230004	0.11396338	2.988028907
309.3333333	0.248531312	2.826343361	0.119207991	2.963935714
310	0.253829877	2.846138425	0.116961454	2.992226485
310.6666667	0.241294076	2.840352022	0.109351789	3.026531911
311.3333333	0.232066556	2.832980971	0.120692212	3.017477133
312	0.222662117	2.832171507	0.116211214	2.97952208
312.6666667	0.226593551	2.848784715	0.113723187	2.991261492
313.3333333	0.230349504	2.834672833	0.109080375	2.965770994
314	0.220069732	2.80611627	0.103218904	3.029484763
314.6666667	0.208311826	2.797075911	0.127405259	2.972195726
315.3333333	0.22406789	2.808577107	0.085348715	3.02711043
316	0.193640318	2.784585028	0.113921923	3.10715486
316.6666667	0.201725868	2.818094209	0.111007175	3.003690797
317.3333333	0.213651089	2.779341533	0.087313949	3.037112841
318	0.209787322	2.804863303	0.11060569	2.98708412
318.6666667	0.189856696	2.796891191	0.107090139	3.037940321
319.3333333	0.20453636	2.806724707	0.111971982	3.11184537
320	0.184805953	2.79679861	0.116688904	3.157776496
320.6666667	0.191442134	2.781105132	0.111084239	3.059789923
321.3333333	0.178652127	2.78642566	0.119629559	3.093203015
322	0.172445353	2.793808431	0.104294518	3.120540297
322.6666667	0.177382515	2.742957916	0.116253155	3.125662102
323.3333333	0.17063989	2.805522067	0.110381174	3.110599077
324	0.169619125	2.764258355	0.106848131	3.154800743
324.6666667	0.166320084	2.767484838	0.126324191	3.135566106
325.3333333	0.16762474	2.750389777	0.119309336	3.167089947
326	0.158239764	2.743994173	0.111779882	3.182523901
326.6666667	0.177136256	2.757042099	0.11151929	3.070598391
327.3333333	0.157582083	2.75195248	0.114971098	3.206348029
328	0.159836053	2.736802887	0.103807199	3.100053665
328.6666667	0.155294168	2.731625613	0.103526897	3.163913686
329.3333333	0.150377577	2.725413249	0.107447875	3.155731184
330	0.154438406	2.748065187	0.107528021	3.171020484
330.6666667	0.156173907	2.735853123	0.117126219	3.126728486
331.3333333	0.14921016	2.741094187	0.115556596	3.152446299
332	0.142302404	2.731666789	0.100763908	3.166165119
332.6666667	0.141936379	2.727325127	0.111978706	3.214622901
333.3333333	0.150100174	2.713056988	0.103747033	3.165907315
334	0.138387641	2.709409922	0.122701361	3.259052317
334.6666667	0.128709354	2.701810765	0.120904472	3.252348754
335.3333333	0.125470947	2.700390689	0.123750701	3.306542134
336	0.117388978	2.703507371	0.11131917	3.219643932
336.6666667	0.12996556	2.68366057	0.116555977	3.209621098
337.3333333	0.132416744	2.710962839	0.105686408	3.281023308
338	0.105359901	2.67730819	0.114057464	3.242232222
338.6666667	0.115814739	2.666550224	0.105557251	3.273921477
339.3333333	0.101954554	2.688378467	0.114907296	3.270941489
340	0.105235132	2.665707141	0.107126455	3.260736795
340.6666667	0.108789884	2.646261751	0.110758367	3.348432929
341.3333333	0.108722779	2.671302096	0.113267135	3.230699843
342	0.09595874	2.650358211	0.106444111	3.186048704
342.6666667	0.103742762	2.641573308	0.109170508	3.24327102
343.3333333	0.100726016	2.64005272	0.109285978	3.243063726
344	0.093584688	2.668227496	0.11637212	3.325540053
344.6666667	0.109289609	2.678097313	0.10846638	3.287064974
345.3333333	0.095358519	2.659802162	0.108170709	3.260096785
346	0.099674445	2.670573916	0.109969303	3.335136249
346.6666667	0.088675493	2.649291776	0.103960867	3.344373773
347.3333333	0.087284153	2.658693043	0.108168563	3.354161124
348	0.094117248	2.650654276	0.107026726	3.373527867
348.6666667	0.086493867	2.637361699	0.102075656	3.355782177
349.3333333	0.079159157	2.624081182	0.103014553	3.341579688
350	0.078390634	2.633051228	0.100208213	3.456943476
